district,taluka,area_ha,annual_recharge_ham,annual_extraction_ham,stage_of_extraction_pct,category_raw,source_page
SATARA,KHATAV,126905.0,11500.7,8964.3,77.9,semi_critical,212
SATARA,KOREGAON,78698.0,12693.7,7157.9,56.4,safe,212
SATARA,,6012.0,207.4,130.9,63.1,safe,212
SATARA,MAN,142517.0,13317.5,10833.8,81.4,semi_critical,212
SATARA,PATAN,93138.0,3292.7,2153.5,65.4,safe,212
SATARA,PHALTAN,110345.0,16386.0,10922.3,66.7,safe,212
SATARA,SATARA,78336.0,18608.3,8063.6,43.3,safe,212
SATARA,WAI,52467.0,8512.1,5716.7,67.2,safe,212
SINDHUDURG,KANKAVALI,46940.6,3975.3,1410.1,35.5,safe,212
SINDHUDURG,DEVGAD,48229.4,3713.6,1422.0,38.3,safe,212
SINDHUDURG,DOUDAMARG,11509.6,635.2,352.9,55.6,safe,212
SINDHUDURG,KUDAL,49252.2,4607.8,2221.3,48.2,safe,213
SINDHUDURG,MALWAN,38109.0,3304.8,1292.8,39.1,safe,213
SINDHUDURG,VAIBHAVVWADI,17782.9,1411.2,672.2,47.6,safe,213
SINDHUDURG,VENGURLA,23110.3,1843.5,929.4,50.4,safe,213
SINDHUDURG,SAWANTWADI,44371.7,2595.5,1269.9,48.9,safe,213
SOLAPUR,AKKALKOT,140705.0,13277.9,7477.3,56.3,safe,213
SOLAPUR,BARSHI,149562.0,10214.5,8098.6,79.3,semi_critical,213
SOLAPUR,KARMALA,165983.0,11567.3,8361.2,72.3,semi_critical,213
SOLAPUR,MADHA,155933.0,15763.3,12846.4,81.5,semi_critical,213
SOLAPUR,MALSHIRAS,149299.0,19557.2,19797.6,101.2,over_exploited,213
SOLAPUR,MANGALWEDHA,113510.0,9071.0,6767.0,74.6,semi_critical,213
SOLAPUR,MOHOL,136046.0,13546.1,11950.7,88.2,semi_critical,213
SOLAPUR,N.SOLAPUR,58927.0,6270.2,4210.0,67.1,safe,213
SOLAPUR,PANDHARPUR,129010.0,14527.1,10802.2,74.4,semi_critical,213
SOLAPUR,S.SOLAPUR,108415.0,10553.8,6718.5,63.7,safe,213
SOLAPUR,SANGOLA,176500.0,14613.6,10724.7,73.4,semi_critical,213
THANE,BHIVANDI,40634.0,2798.1,1135.2,40.6,safe,213
THANE,AMBARNATH,26980.0,1729.1,351.6,20.3,safe,213
THANE,KALYAN,12643.0,814.9,163.6,20.1,safe,213
THANE,MURBAD,54378.0,3576.3,342.3,9.6,safe,213
THANE,SHAHAPUR,75675.0,6022.1,716.7,11.9,safe,213
THANE,THANE,21837.0,1332.3,373.9,28.1,safe,213
THANE,ULHASNAGAR,1300.0,82.9,35.1,42.4,safe,213
WARDHA,ARVI,79476.0,9513.0,4854.3,51.0,safe,213
WARDHA,ASHTI,45935.0,5730.8,3432.3,59.9,safe,214
WARDHA,HINGANGHAT,91965.0,11863.2,6218.9,52.4,safe,214
WARDHA,KARANJA,60320.0,7815.9,5357.4,68.5,safe,214
WARDHA,SAMUDRAPUR,92552.0,13679.1,6344.4,46.4,safe,214
WARDHA,SELOO,64140.0,9342.4,5156.6,55.2,safe,214
WARDHA,WARDHA,78650.0,11287.9,6791.1,60.2,safe,214
WARDHA,DEOLI,68178.0,10136.3,4349.6,42.9,safe,214
WASHIM,KARANJA,81886.6,7477.2,5155.9,69.0,safe,214
WASHIM,MALEGAON,84643.1,8604.7,5585.2,64.9,safe,214
WASHIM,MANGRULPIR,71008.5,9129.3,4961.1,54.3,safe,214
WASHIM,MANORA,70488.2,8706.8,4363.8,50.1,safe,214
WASHIM,RISOD,84924.2,11688.3,7361.6,63.0,safe,214
WASHIM,WASHIM,88245.9,10065.5,6088.4,60.5,safe,214
YAWATMAL,OMARKHED,97835.7,14627.8,4474.0,30.6,safe,214
YAWATMAL,ARNI,65767.4,8759.5,3031.8,34.6,safe,214
YAWATMAL,BABULGAON,53129.2,5422.6,2327.1,42.9,safe,214
YAWATMAL,DARAVHA,76872.2,8622.7,3611.2,41.9,safe,214
YAWATMAL,DIGRAS,46370.6,5909.0,2444.1,41.4,safe,214
YAWATMAL,GHATANJI,75790.0,10659.9,1732.7,16.3,safe,214
YAWATMAL,KALAMB,62832.4,6246.4,2386.2,38.2,safe,214
YAWATMAL,MAHAGAON,72193.6,8168.8,4103.2,50.2,safe,214
YAWATMAL,NER,63372.3,5339.0,2849.3,53.4,safe,214
YAWATMAL,,69925.6,9289.9,1852.2,19.9,safe,214
YAWATMAL,PUSAD,98440.2,12506.3,4530.0,36.2,safe,215
YAWATMAL,RALEGAON,68676.1,7050.4,2533.3,35.9,safe,215
YAWATMAL,WANI,80596.8,8230.9,2473.8,30.1,safe,215
YAWATMAL,YEOTMAL,93284.0,10584.2,3726.4,35.2,safe,215
YAWATMAL,ZARA ZAMANI,61394.0,7643.8,1507.3,19.7,safe,215
YAWATMAL,MAREGAON,57586.8,4245.0,1406.7,33.1,safe,215
