district,taluka,area_ha,annual_recharge_ham,annual_extraction_ham,stage_of_extraction_pct,category_raw,source_page,assessment_unit_id,matched_taluka_in_db,match_score,status
GADCHIROLI,AHERI,114098.5,10957.4,1473.7,13.4,safe,204,4611dafc-c0e1-4906-9b56-66d78f6640ba,AHERI,1.0,matched
GADCHIROLI,KORCHI,38658.7,4758.2,1227.6,25.8,safe,204,f9706724-07dd-4021-ae64-a336a5219235,Korchi,1.0,matched
GADCHIROLI,GADCHIROLI,51743.8,6512.5,1733.5,26.6,safe,204,bf4bb10a-0c76-40dd-97df-b49a5bd7bf11,GADCHIROLI,1.0,matched
GADCHIROLI,WADSA,38873.0,6455.6,1671.0,25.9,safe,204,,no taluka candidate above cutoff,0.0,unmatched
GADCHIROLI,ETAPALLI,114792.2,12288.7,1985.6,16.2,safe,204,aad3201f-e762-40b4-869a-53fb78bab8b6,ETAPALLI,1.0,matched
GADCHIROLI,ARMORI,63493.9,8872.8,2761.8,31.1,safe,204,954e0503-d1d4-4863-bee4-3a971e9b960a,ARMORI,1.0,matched
GADCHIROLI,BHAMRAGAD,37688.2,3522.1,275.9,7.8,safe,204,e104ea49-8405-43aa-ab8a-4ee3a0f2bfb2,Bhamaragad,0.947,matched
GADCHIROLI,CHAMORSHI,125583.7,13563.9,3318.4,24.5,safe,204,136c677c-abe3-4623-b368-aec2f58eb32c,CHAMORSHI,1.0,matched
GADCHIROLI,DHANORA,75416.3,9046.6,2443.1,27.0,safe,204,4c9d899e-fb7f-47af-89a6-9eea38480f04,DHANORA,1.0,matched
GADCHIROLI,KURKHEDA,76871.9,9945.3,3183.7,32.0,safe,204,f1bdc3e6-7d78-476b-824c-e7d2d6c49320,KURKHEDA,1.0,matched
GADCHIROLI,MULCHERA,70866.1,7506.9,1684.0,22.4,safe,204,c0a1428c-346d-4116-bae8-4a4c3ad19fcf,Mulchera,1.0,matched
GADCHIROLI,SORONCHA,78563.0,9433.4,3306.0,35.0,safe,204,44d7a2b8-38c9-426c-a17b-0cb7d9e203f9,SIRONCHA,1.0,matched
GONDIA,TIRORA,52133.3,7250.7,1977.3,27.3,safe,204,,no taluka candidate above cutoff,0.0,unmatched
GONDIA,AMGAON,35689.1,4787.9,1414.5,29.5,safe,204,cc677331-7e1c-4a20-9011-5a1bd222de0c,AMGAON,1.0,matched
GONDIA,DEORI,80783.7,8593.1,1274.5,14.8,safe,204,ed6c10b7-6232-4032-95c3-e280683aab6b,DEORI,1.0,matched
GONDIA,GONDIA,62169.5,8113.5,2749.6,33.9,safe,204,bd1c3fbb-ba73-4bdd-a9b4-420ff4cde0b1,GONDIYA,0.923,matched
GONDIA,GOREGAON,41385.4,4766.7,2091.1,43.9,safe,204,edaf6707-ec29-473e-8360-4899491dd421,GOREGAON,1.0,matched
GONDIA,SALEKASA,39296.0,6323.7,1484.1,23.5,safe,204,b69655ca-a2d6-4c26-860c-9e4a4a3f8e6e,SALEKASA,1.0,matched
GONDIA,,87477.0,14060.8,2395.8,17.0,safe,205,,no taluka candidate above cutoff,0.0,unmatched
GONDIA,SADAK ARJUNI,60770.8,8470.5,3021.8,35.7,safe,205,c57e5e28-2df6-4529-820c-57a10a8a6ae8,Sadak-Arjuni,1.0,matched
HINGOLI,AUNDHA,81961.0,22213.1,7044.7,31.7,safe,205,,no taluka candidate above cutoff,0.0,unmatched
HINGOLI,BASMATH,76436.0,34651.8,11053.4,31.9,safe,205,291428a0-2a1a-48d1-98cf-7b137e206bf7,BASMATH,1.0,matched
